书 B
井 井
耳 耳
光盘 CD
凉鞋 샌들
学生 學生
床 BED
油 Oil
牛 Cow
狗 Dog
电视 TV
笔 Pen
地图 Map
奶牛 Cow
帽子 Hat
弓箭 bow
狐狸 Fox
狼 wolf
电锯 saw
碗 Bowl
红色 Red
苍蝇 fly
蚂蚁 Ant
蜜蜂 bee
蝉 Chan
蝙蝠 bat
人民币 CNY
假货 Fake
公鸡 cock
刀 knife
厨师 Cook
吊环 Ring
啤酒 Beer
国王 King
坦克 Tank
头盔 Helm
工作 Work
月球 Moon
机车 bike
梳子 Comb
游戏 Game
灰色 Gray
烟 smoke
牛奶 Milk
狮子 Lion
猪 swine
猫头鹰 Owl
玩具 Toys
瑜伽 Yoga
皮带 Belt
石头 Rock
硬币 Coin
老板 boss
花瓶 Vase
茅屋 KUBO
虎 Tiger
蛇 Snake
蛋糕 Cake
螃蟹 Crab
蟾蜍 Toad
丸子 dango
凳子 Stool
包子 Baozi
咖啡厅 Cafè
围巾 Scarf
围裙 Apron
土豆 Tudou
圣经 bible
女王 Queen
小偷 Thief
小鸡 Chick
年糕 Mochi
床单 Sheet
恶作剧 hoax
房子 House
扑克 Poker
扫帚 Broom
披萨 Pizza
斑马 zebra
杏子 Kyoko
柠檬 Lemon
树木 Trees
桃子 Peach
桃花 peach
桌子 Table
桥 Bridge
椅子 Chair
橙 Orange
武术 Wushu
洋葱 onion
激光 Laser
火柴 Match
火炬 Torch
火车 Train
灯 Lights
照片 Photo
猎鹰 Eagle
玻璃 glass
珍珠 Pearl
瓜子 Egusi
电钻 Drill
盖帽 block
眼泪 Tears
秃子 baldy
笙 Sheng!
笛子 flute
股票 Stock
胖子 fatty
芒果 Mango
苹果 Apple
荷花 Lotus
葡萄 Grape
虾 Shrimp
蜂蜜 Honey
蜗牛 snail
衬衣 Shirt
袜子 Socks
课桌 Desks
乌鸦 Corvus
兔子 Rabbit
八卦 Gossip
兵器 Weapon
匕首 Dagger
厕所 Toilet
古筝 zither
吃货 Foodie
地球仪 globe
寒战 Chills
小品 Sketch
工人 Worker
工资 Salary
弹簧 Spring
律师 Lawyer
手套 Gloves
手机 Mobile
扣子 button
扳手 Wrench
枇杷 Loquat
棉花 Cotton
榴莲 Durian
樱桃 Cherry
歌手 Singer
母亲 Mother
水泥 Cement
水獭 Otters
水蜜桃 Peach
水饺 Jiaozi
海绵 Sponge
海象 Walrus
演员 Actors
潜水 Diving
火箭 Rocket
烟台 Yantai
猪八戒 Pigsy
猴子 Monkey
琵琶 loquat
白鳍豚 Baiji
监狱 Prison
相机 Camera
眼镜蛇 cobra
短裤 Shorts
窗 Windows
红枣 Jujube
纸巾 Tissue
网球 Tennis
胃 Stomach
腰带 girdle
芝麻 Sesame
花朵 Flower
花车 Floats
蜘蛛 spider
蜥蜴 lizard
螳螂 mantis
螺丝 Screws
蟒蛇 python
袖子 Sleeve
西施 Xi Shi
警报器 Alarm
乞丐 Begging
仙人掌 Cactus
企鹅 Penguin
假惺惺 Phony!
剃头 Shaving
发簪 hairpin
唱歌 Singing
圆规 compass
士兵 Soldier
天蝎 Scorpio
太阳系 Ia Sol
婚礼 Wedding
守门员 Keeper
小草 Xiaocao
屈原 Qu Yuan
手枪 Handgun
折纸 origami
拖鞋 Slipper
播放器 Player
放风筝 Kiting
教师 Teacher
旅游 Tourism
杠铃 Barbell
极昼 Ji Zhou
核桃 Walnuts
桌球 snooker
桌面 desktop
棉被 Blanket
椰子 Coconut
母鸡 Chicken
油条 Youtiao
海鸥 Seagull
火山 Volcano
火星人 Nobody
火锅 Hot Pot
火龙果 Pitaya
热狗 Hot-Dog
照相机 Camera
猪脚 tatsumi
猫 The cats
球拍 Racquet
理发师 Barber
生物 Biology
画 Painting
画画 drawing
疯子 Lunatic
眼镜 Glasses
睫毛 Eyelash
社会 Society
篝火 bonfire
精卫 Jingwei
精油 essence
纽扣 BUTTONS
网址 Website
老师 Teacher
耳垂 earlobe
芍药 Shaoyao
芭蕾舞 Ballet
茉莉 Jasmine
菠菜 Spinach
蝌蚪 Tadpole
蝙蝠侠 Batman
蟋蟀 cricket
观音 Guanyin
诗 The Poem
麻将 Mahjong
三毛 30 cents
不倒翁 Tumbler
亭 Ting Wang
保龄球 Bowling
刺猬 Hedgehog
剪刀 Scissors
印刷 Printing
口红 lipstick
图书馆 library
坚果 Wall-nut
大树 big tree
大盘鸡 Dapanji
大象 Elephant
天书 Day Book
射击 Shooting
屁股 Buttocks
手提电脑 Laptop
手术刀 Scalpel
手镯 Bracelet
打印机 Printer
拖拉机 Tractor
日历 Calendar
月饼 Mooncake
杂技 Juggling
松鼠 Squirrel
棒冰 popsicle
榛子 hazelnut
流口水 Slobber
流浪者 vagrant
涂鸦 Graffiti
游泳 swimming
火影忍者 Naruto
热气球 Balloon
电梯 Elevator
电脑 Computer
睫毛膏 Mascara
绘画 Painting
羚羊 Antelope
老鼠 Muroidea
自行车 Bicycle
茄子 Eggplant
茶叶蛋 Tea Egg
茶馆 Teahouse
萤火虫 Firefly
蘑菇 Mushroom
蚂蚱 Malzahar
蚊子 mosquito
蜡烛 la zhu蜡烛
蝎子 scorpion
衣柜 Wardrobe
衣橱 Wardrobe
袋鼠 Kangaroo
书包 Randoseru
人造卫星 Sputnik
修理工 mechanic
僵尸 Jiang Shi
冰刀 Ice Blade
冰块 Ice Block
冰棍 Ice lolly
化学 Chemistry
双截棍 nunchaku
变形金刚 5:最后的骑士
